"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Roma","Roma","Biblioteca dell'Università popolare romana","Pubblica","Università popolare italiana",,,"Via della pigna 13/A",,"00186","41.8969607","12.4775164","+39 064460972",,,
"Roma","Roma","Biblioteca dell'Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche",,,"Viale Castro Pretorio",,"00185","41.9053408","12.5058407","+39 064989/481",,,
"Roma","Roma","Biblioteca del Dipartimento di idraulica, trasporti e strade. Sezione trasporti e strade Franco Giannini dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di idraulica, trasporti e strade",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585126","+39 0644585150",,
"Roma","Roma","Biblioteca del Dipartimento di fisica tecnica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di fisica tecnica",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585660","+39 064880120","bibft@uniroma1.it",
"Roma","Roma","Biblioteca del Dipartimento di idraulica, trasporti e strade. Sezione costruzioni idrauliche, idraulica, geofisica mineraria, topografia e geodesia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di idraulica, trasporti e strade",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585126","+39 0644585150","ams@dits.ing.uniroma1.it","http://w3.ing.uniroma1.it/Biblioteche/bib7.html"
"Roma","Roma","Biblioteca del Dipartimento di idraulica, trasporti e strade. Sezione geologia applicata dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di idraulica, trasporti e strade. Sezione geologia applicata",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585126","+39 0644585150",,
"Roma","Roma","Biblioteca del Dipartimento di ingegneria elettronica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di ingegneria elettronica",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585844","+39 064742647","bibliotecadiet@uniroma1.it",
"Roma","Roma","Biblioteca Paolo Piga. Sede materie prime del Dipartimento di ingegneria chimica materiali ambiente dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di ingegneria chimica, dei materiali, delle materie prime e metallurgia",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585624","+39 0644585618","carla.nobili@uniroma1.it","http://w3.uniroma1.it/bibliomp/"
"Roma","Roma","Biblioteca del Dipartimento di Ingegneria informatica automatica e gestionale Antonio Ruberti dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di informatica e sistemistica Antonio Ruberti",,,"Via Ariosto 25",,"00185","41.8910226","12.5037647","+39 0677274166","+39 0677274177","bibdis@dis.uniroma1.it","http://www.dis.uniroma1.it/~bibdis/"
"Roma","Roma","Biblioteca di metallurgia del Dipartimento di ingegneria chimica materiali ambiente dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di ingegneria chimica materiali ambiente",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585903","+39 0644585641","carla.nobili@uniroma1.it","http://ingchim.ing.uniroma1.it/biblioteche/BiblioMetallurgia.htm"
"Roma","Roma","Biblioteca del Dipartimento di ingegneria strutturale e geotecnica. Sede Eudossiana dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di ingegneria strutturale e geotecnica",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585019","+39 064884852",,
"Roma","Roma","Biblioteca del Dipartimento di ingegneria elettrica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di ingegneria elettrica",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585546","+39 064883235","dpt@elettrica.ing.uniroma1.it","http://elettrica.ing.uniroma1.it/Biblioteca_elettrica.html"
"Roma","Roma","Biblioteca Paolo Silvestroni. Sede di chimica del Dipartimento di ingegneria chimica materiali ambiente dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di ingegneria chimica, dei materiali, delle materie prime e metallurgia",,,"Via del Castro Laurenziano 7",,"00161","41.9059109","12.5170783","+39 0649766740",,"giuliani@axrma.uniroma1.it",
"Roma","Roma","Biblioteca del Dipartimento di energetica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di energetica",,,"Via A. Scarpa 14",,"00161","41.9071644","12.5185224","+39 0649916800","+39 064270183",,
"Roma","Roma","Biblioteca di Scienze di base e applicate per l'ingegneria dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza",,,"Via A. Scarpa 10",,"00161","41.9062456","12.5172391","+39 0649766666","+39 0649766666",,"http://www.dmmm.uniroma1.it/library.it.php"
"Roma","Roma","Biblioteca interdipartimentale di scienze chimico-farmaceutiche Giordano Giacomello dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Interdipartimento di scienze chimico-farmaceutiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913967","+39 064441623","gratteri@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di farmacologia medica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di farmacologia medica",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649912534",,,
"Roma","Roma","Biblioteca del Centro interateneo per le tecnologie dell'informazione e la comunicazione nella ricerca e nella didattica - CITICoRD dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913544","+39 0649913837",,
"Roma","Roma","Biblioteca dell'Istituto di clinica odontoiatrica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di clinica odontoiatrica",,,"Viale Regina Elena 287/a",,"00161","41.9043102","12.5174938","+39 064403747","+39 0644230807",,
"Roma","Roma","Biblioteca del Dipartimento di medicina sperimentale e patologia. Sezione patologia generale dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di medicina sperimentale e patologia. Sezione patologia generale",,,"Viale Regina Elena 324",,"00161","41.9043102","12.5174938","+39 0649973004","+39 0649973004","bmedsper@uniroma1.it",
"Roma","Roma","Biblioteca centralizzata Vittorio Del Vecchio del Dipartimento di scienze di sanità pubblica Giuseppe Sanarelli dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze di sanità pubblica Giuseppe Sanarelli",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649914680","+39 064454845","rosella.delvecchio@uniroma1.it","http://www.uniroma1.it/istig/biblioteca.htm"
"Roma","Roma","Biblioteca di ginecologia e ostetricia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064959341","+39 064451706",,
"Roma","Roma","Biblioteca Michele Bufano del Dipartimento di medicina clinica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di medicina clinica",,,"Viale dell'Università 37",,"00161","41.9056565","12.5155477","+39 0649972098","+39 0649972098","bibliotecabufano@gmail.com",
"Roma","Roma","Biblioteca del Dipartimento di scienze neurologiche dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze neurologiche",,,"Viale dell'Università 30",,"00185","41.9045183","12.5124712","+39 0649914451","+39 0679914081","biblioteca.neurologia@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di clinica otorinolaringoiatrica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di clinica otorinolaringoiatrica",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 06490051",,,
"Roma","Roma","Biblioteca del Dipartimento di biologia animale e dell'uomo. Sezione zoologia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di biologia animale e dell'uomo",,,"Viale dell'Università 32",,"00185","41.9046508","12.5128861","+39 0649914775","+39 0649914163",,"http://dipbau.bio.uniroma1.it/web/Biblioteca/index.htm"
"Roma","Roma","Biblioteca del Dipartimento di malattie infettive e tropicali dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di malattie infettive e tropicali",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 06491468","+39 064957855",,"http://biblioteche.caspur.it/cgi-bin/WBIBLIO_scheda.pl?id_biblioteca=RMS4411"
"Roma","Roma","Biblioteca del Dipartimento di fisiopatologia medica dell'Universita degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di fisiopatologia medica",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 0649973152","+39 0649973152",,
"Roma","Roma","Biblioteca del Dipartimento di biotecnologie cellulari ed ematologia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di biotecnologie cellulari ed ematologia",,,"Viale Regina Elena 324",,"00161","41.9043102","12.5174938","+39 064457734","+39 064462891","biblio@bce.med.uniroma1.it","http://www.bce.med.uniroma1.it/biblioteca.html"
"Roma","Roma","Biblioteca dell'Istituto di microbiologia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di microbiologia",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 064462208","+39 0649914626",,
"Roma","Roma","Biblioteca dell'Istituto di parassitologia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di parassitologia",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649914680","+39 064454845",,
"Roma","Roma","Biblioteca centralizzata di chirurgia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064462041",,,
"Roma","Roma","Biblioteca dell'Istituto di clinica ortopedica e traumatologica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di clinica ortopedica e traumatologica",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 06491672",,,
"Roma","Roma","Biblioteca del Dipartimento di urologia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di urologia",,,"Viale Regina Elena 324",,"00161","41.9043102","12.5174938","+39 064456841","+39 064454391",,
"Roma","Roma","Biblioteca dell'Istituto di radiologia medica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di radiologia medica",,,"Viale Regina Elena 324",,"00161","41.9043102","12.5174938","+39 064940573","+39 06491774",,
"Roma","Roma","Biblioteca del Dipartimento di medicina sperimentale e patologia. Sezione storia della medicina dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di medicina sperimentale e patologia. Sezione storia della medicina",,,"Viale dell'Università 34/A",,"00185","41.9048035","12.5133656","+39 064451721","+39 064454820","bib.stomed@uniroma1.it","http://www.histmed.it/biblioteca/biblioteca.htm"
"Roma","Roma","Biblioteca del Dipartimento di biologia animale e dell'uomo. Sezione anatomia comparata dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di biologia animale e dell'uomo",,,"Via A. Borelli 50",,"00161","41.9066543","12.5161354","+39 0649918030","+39 064457516",,
"Roma","Roma","Biblioteca del Dipartimento di istologia ed embriologia medica - DIEM dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di istologia ed embriologia medica",,,"Via A. Scarpa 14",,"00161","41.9071644","12.5185224","+39 0649916579","+39 064462854","maria.squarcione@uniroma1.it","http://w3.uniroma1.it/istologia/bibliote.htm"
"Roma","Roma","Biblioteca del Dipartimento di biologia animale e dell'uomo. Sezione antropologia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di biologia animale e dell'uomo",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649912274","+39 0649912182",,
"Roma","Roma","Biblioteca del Dipartimento di medicina interna e specialità mediche del Policlinico Umberto I Sapienza Università di Roma","Istituto di insegnamento superiore","Sapienza Università di Roma",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 0649970528","+39 0649970778",,"http://www.uniroma1/it/disciclin/biblioteca/bibliote.htm"
"Roma","Roma","Biblioteca dell'Istituto di medicina legale e delle asssicurazioni della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di medicina legale e delle assicurazioni",,,"Viale Regina Elena 336",,"00161","41.9028152","12.5192204","+39 0649912611","+39 0649912614",,
"Roma","Roma","Biblioteca dell'Istituto di clinica dermatologica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di clinica dermatologica",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 06490620","+39 064462104",,
"Roma","Roma","Biblioteca del Dipartimento di scienze oftalmologiche dell'Università degli studi La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze oftalmologiche",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064462141","+39 0649975303",,"http://w3.uniroma1.it/oftalm/home_it.htm"
"Roma","Roma","Biblioteca del Dipartimento di Pediatria e Neuropsichiatria Infantile dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze neurologiche e psichiatriche dell'età evolutiva",,,"Viale Regina Elena, 324",,"00161","41.9073715","12.5133419","+39 0649979262","+39 0649979263","bibliopediatria@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di idrologia medica della Facolta' di medicina e chirurgia dell'Universita' degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di idrologia medica",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064462892",,,
"Roma","Roma","Biblioteca dell'Istituto di virologia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di virologia",,,"Viale di Porta Tiburtina 28",,"00185","41.8993251","12.5094239","+39 064452846","+39 064469024",,
"Roma","Roma","Biblioteca dell'Istituto di reumatologia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di reumatologia",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064462013",,,
"Roma","Roma","Biblioteca dell'Istituto di farmacologia e farmacognosia della Facoltà di farmacia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di farmacia. Istituto difarmacologia e farmagnosia",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649912948","+39 0649912480",,
"Roma","Roma","Biblioteca del Dipartimento di scienze biochimiche Alessandro Rossi Fanelli dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze biochimiche Alessandro Rossi Fanelli",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910710","+39 064440062",,
"Roma","Roma","Biblioteca dell'Istituto di fisiologia umana della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di fisiologia umana",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 06490673","+39 064452303",,
"Roma","Roma","Biblioteca del Dipartimento di Metodi e Modelli per l'Economia il Territorio e la Finanza - MADEFA. Sapienza Università di Roma","Istituto di insegnamento superiore","SapienzaUniversità di Roma. Dipartimento di Metodi e Modelli per l'Economia il Territorio e la Finanza",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766301","+39 0649766765","bibliotecadimadefa@uniroma1.it","http://www.memotef.uniroma1.it/newdip/biblioteca/biblioteca.php"
"Roma","Roma","Biblioteca del Dipartimento di Scienze dell'antichità. Sezione di Paletnologia dell'Università di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di Scienze dell'Antichità",,,"Via dei Volsci 122",,"00185","41.9042279","12.5050842","+39 0696040386",,"alessandro.sabbatini@uniroma1.it","http://serverdsasapienza.let.uniroma1.it/biblioteca/le-sezioni/paletnologia"
"Roma","Roma","Biblioteca del Dipartimento di statistica, probabilità e statistiche applicate dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di statististica, probabilità e statistiche applicate",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 064456308","+39 0649910045","teca@pow2.sta.uniroma1.it","http://www.pow2.sta.uniroma1.it/biblioteca"
"Roma","Roma","Biblioteca del Dipartimento di biologia cellulare e dello sviluppo dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di biologia cellulare e dello sviluppo",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649912250","+39 0649912351","nucci@caspur.it",
"Roma","Roma","Biblioteca del Dipartimento di genetica e biologia molecolare Charles Darwin dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di genetica e biologia molecolare Charles Darwin",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649912474","+39 064456866","lonigro@axcasp.caspur.it",
"Roma","Roma","Biblioteca del Dipartimento di scienze della terra dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze della terra",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975",,"+39 0649914701","daniele.coltellacci@uniroma1.it","http://sibiblioteche.caspur.it/scheda_css.php?id=SAPST11&hist=off"
"Roma","Roma","Biblioteca generale Enrico Barone della Facoltà di economia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di economia",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649916299","+39 0649766893","nadia.rufini@uniroma1.it","http://www.economia.uniroma1.it/base.php?DURL=/statiche/biblioteche"
"Roma","Roma","Biblioteca del Dipartimento per le tecnologie, le risorse e lo sviluppo dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza.  Dipartimento per le tecnologie, le risorse e lo sviluppo",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766317",,"ada.renzi@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di diritto internazionale e comunitario della Facoltà di economia e commercio dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di economia e commercio. Istituto di diritto internazionale e comunitario",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766768",,,
"Roma","Roma","Biblioteca dell'Istituto di diritto del lavoro della Facoltà di economia e commercio dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di economia e commercio. Istituto di diritto del lavoro",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 064451775","+39 06491963",,
"Roma","Roma","Biblioteca dell'Istituto di ragioneria e ricerche economico aziendali della Facoltà di economia e commercio dell'Università degli studi La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di economia e commercio. Istituto di ragioneria e ricerche economico aziendali",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766468",,,
"Roma","Roma","Biblioteca del Dipartimento di scienze della gestione d'impresa dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze della gestione d'impresa",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766435","+39 0649766962",,
"Roma","Roma","Biblioteca del Dipartimento di banche assicurazioni mercati dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di banche assicurazioni mercati",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766260","+39 064450079","roberto.mattei@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di lingue straniere della Facoltà di economia e commercio dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di economia e commercio. Istituto di lingue straniere",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766241","+39 064456956",,
"Roma","Roma","Biblioteca Federico Caffè Dipartimento di Economia e Diritto dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di Economia e Diritto",,,"Via del Castro Laurenziano 9 (6° piano)",,"00161","41.9056641","12.5173924","+39 0649766369","+39 0693370085","bibliotecafedericocaffe@uniroma1.it",
"Roma","Roma","Biblioteca di Metodi e Modelli per l'Economia il Territorio e la Finanza  Ferdinando Milone dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Sapienza Università di Roma. Biblioteca del Dipartimento di Metodi e Modelli per l'Economia il Territorio e la Finanza",,,"Via del Castro Laurenziano 9",,"00161","41.9056641","12.5173924","+39 0649766220","+39 0649766493","biblioteca.milone@uniroma1.it",
"Roma","Roma","Biblioteca del Dipartimento di Scienze giuridiche - Sezione di diritto internazionale della Sapienza Università di Roma","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910673","+39 0649910240","carolina.delbufalo@uniroma1.it",
"Roma","Roma","Biblioteca del Dipartimento di scienze giuridiche. Sezione di diritto della navigazione dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro",,"00195","41.9018309","12.511819","+39 064452956","+39 0649910649","wanna.saccomanno@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di diritto pubblico della Facoltà di giurisprudenza dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di giurisprudenza. Istituto di diritto pubblico",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910205","+39 0649910803",,
"Roma","Roma","Biblioteca del Dipartimento di scienze giuridiche. Sezione di diritto penale dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910929","+39 0649910962","sigismondi@uniroma1.it","http://biblioteche.caspur.it/cgi-bin/scheda.pl?id_biblioteca=RMS2811"
"Roma","Roma","Biblioteca interdipartimentale di scienze giuridiche-Sede di diritto privato-Sapienza Università di Roma","Specializzata","Università degli studi di Roma La Sapienza. Facoltà di giurisprudenza. Istituto di diritto privato",,,"Piazzale Aldo  Moro 5",,"00185","41.9017582","12.5120975","+39 0649914625","+39 0649914656","antonella.starocci@uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di diritto processuale civile della Facoltà di giurisprudenza dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di giurisprudenza. Istituto di diritto processuale civile",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 064462545",,,
"Roma","Roma","Biblioteca del Dipartimento di scienze giuridiche. Sezione di diritto comparato dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910661","+39 0649910109","rosalba.dichiara@uniroma1.it","http://w3.uniroma1.it/idc/biblioteca.htm"
"Roma","Roma","Biblioteca interdipartimentale  di scienze giuridiche. Sezione di diritto romano e dei diritti dell'oriente mediterraneo","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale Aldo Moro 5",,"00185","41.9017582","12.5120975","+39 0649910232","+39 0649910241",,"http://151.100.28.159/"
"Roma","Roma","Biblioteca del Dipartimento di scienze giuridiche. Sezione di economia e finanza dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910727","+39 0649910648","iecofin@axrma.uniroma1.it","http://www.iecofin.uniroma1.it/Biblioteca/ricerca/index.asp"
"Roma","Roma","Biblioteca Giorgio Del Vecchio del Dipartimento di scienze giuridiche. Sezione di filosofia del diritto dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910921","+39 0649910934","bibliotecadelvecchio@uniroma1.it","http://biblioteche.caspur.it/cgi-bin/scheda.pl?id_biblioteca=RMS3411"
